,bhattacharyya,bhattacharyyaAngle,count,hellingerDistance,iso,kullbackLeiblerDivergence,labelAspect,labelData
9634,1.9299933995449514,1.4251326029188485,4643,0.10937766660673616,ISL,0.04839347047279707,number of versions,tertiary roads
9635,1.7249855391973847,1.3916642266405714,16584,0.05365559779316147,ISL,0.011596396572091173,timespan between versions,tertiary roads
9636,1.890862084229552,1.4192755812213123,25682,0.2232499641242467,ISL,0.20911323767231754,tag value length,tertiary roads
9637,1.8697332465069474,1.416014254719718,4643,0.10071409821314332,ISL,0.04076040369748767,number of nodes,tertiary roads
9638,1.7398728253186118,1.3943393014646457,106016,0.040389538066933135,ISL,0.0064840663573916164,distance between nodes,tertiary roads
9639,1.8125372797566377,1.4068230896969476,4643,0.03751801064606435,ISL,0.00565918834639872,length,tertiary roads
9640,1.9313678931518563,1.425334103447676,9573,0.12197781975520022,ISL,0.05904562562898755,number of versions,residential roads
9641,1.7429421189901153,1.394885726434107,24587,0.04017264170743486,ISL,0.0064474997884098086,timespan between versions,residential roads
9642,1.605972121099732,1.3687296756284175,34261,0.2882482972845616,ISL,0.2988419250374777,tag value length,residential roads
9643,1.9165947838720856,1.4231534730104638,9573,0.10189179331062578,ISL,0.039980819261976185,number of nodes,residential roads
9644,1.8092542084601033,1.406278959421351,65078,0.0318802910096166,ISL,0.004073164897110068,distance between nodes,residential roads
9645,1.7698757899685815,1.399607268223873,9573,0.026737667044632117,ISL,0.002837293305230465,length,residential roads
9646,1.3867127248298619,1.3182240685998303,10024,0.35114872353553944,ISL,0.4178404040496526,number of versions,tracks
9647,1.7668750555549535,1.3990876952694402,2769,0.06093985002135943,ISL,0.01501840662885108,timespan between versions,tracks
9648,2.271775794982622,1.4674837590013294,19381,0.4364956461936985,ISL,0.872337278132133,tag value length,tracks
9649,1.8068169556739186,1.405873824733914,10024,0.028228731156640145,ISL,0.003225864101765454,number of nodes,tracks
9650,1.744698730267849,1.3951976775667254,292203,0.038898894793207,ISL,0.006001753240242483,distance between nodes,tracks
9651,1.8030619223810338,1.4052476511824268,10024,0.0073299215276639105,ISL,0.000214836146109602,length,tracks
9652,1.3343768678794834,1.3043319883730524,39491,0.4091149506527545,ISL,0.5533260752750734,number of versions,waterways
9653,1.8096018991478562,1.4063366719850132,7298,0.04306663435499524,ISL,0.007450435216737149,timespan between versions,waterways
9654,2.379411005858621,1.478058349055917,57400,0.4564524363010034,ISL,0.8738735898612231,tag value length,waterways
9655,1.8291626137965982,1.4095505453068353,39491,0.15204074688345895,ISL,0.09799062155346715,number of nodes,waterways
9656,1.7226672665518052,1.3912439470250646,1469016,0.06114910930704995,ISL,0.014887820878988826,distance between nodes,waterways
9657,1.7679893736100443,1.399280825344862,39491,0.026069021269592475,ISL,0.0027102564641599235,length,waterways
9658,1.4497048579446132,1.3339485978959116,5137,0.26761472410954984,ISL,0.26396591075443526,number of versions,rivers
9659,1.800660580424493,1.4048459446437433,4150,0.03363109702170204,ISL,0.004505391397195777,timespan between versions,rivers
9660,2.1939903129251794,1.4590931179697708,9262,0.4439303875496124,ISL,0.9495673000566293,tag value length,rivers
9661,1.81627693292359,1.4074406612209964,5137,0.044353994787100774,ISL,0.008012190191126225,number of nodes,rivers
9662,1.7487368026241472,1.3959126468802499,428084,0.056223058340876646,ISL,0.012474998173019692,distance between nodes,rivers
9663,1.7762686684086029,1.4007088466303532,5137,0.023531077290099747,ISL,0.00218649500685893,length,rivers
9664,1.2794845835115771,1.2888968593942751,21985,0.4699137629435525,ISL,0.7257947781257446,number of versions,water bodies
9665,1.5257736717431454,1.3515923113655073,2259,0.1993304178850218,ISL,0.15545841445862765,timespan between versions,water bodies
